"id","display_order_id","total_amount","created_at","customer_id"
"13392","YTFA","425","2024-10-14 15:12:43","1251"
"13393","N1U7","1650","2024-10-14 15:17:25","1251"
"13394","PADV","1365","2024-10-14 17:02:16","468"
"13395","OKVW","525","2024-10-14 17:03:36","1251"
"13396","2G3Q","525","2024-10-14 17:04:49","468"
"13397","RISQ","1365","2024-10-14 17:09:54","1251"
"13398","PRLC","1935","2024-10-14 17:10:05","555"
"13399","NIII","525","2024-10-14 17:15:48","1251"
"13400","7LOI","1650","2024-10-14 17:17:04","1251"
"13401","LEME","425","2024-10-14 17:19:53","1251"
"13402","B4ND","525","2024-10-14 17:23:49","1251"
"13403","7GRD","825","2024-10-14 17:24:41","513"
"13404","GZ4L","1688","2024-10-14 17:25:39","468"
"13405","VICT","425","2024-10-14 17:32:13","1251"
"13406","HNBV","425","2024-10-14 17:48:29","1251"
"13407","DGGD","1365","2024-10-14 17:50:29","513"
"13408","HOT5","525","2024-10-14 17:50:57","1251"
"13409","GVU2","825","2024-10-14 17:54:53","513"
"13410","L4VH","525","2024-10-14 18:02:53","513"
"13411","IKYF","525","2024-10-14 18:05:52","513"
"13412","BPBP","825","2024-10-14 18:12:41","513"
"13413","XKWB","1175","2024-10-14 18:15:04","468"
"13414","EL98","525","2024-10-14 18:15:50","468"
"13415","EE5Y","525","2024-10-14 18:30:55","1251"
"13416","STGE","2125","2024-10-14 18:40:28","1251"
"13417","LMDT","425","2024-10-14 18:52:40","1251"
"13418","V5JV","1175","2024-10-14 18:54:02","513"
"13419","WD4G","1025","2024-10-14 18:55:50","513"
"13420","0FQH","525","2024-10-14 18:57:22","513"
"13421","SSQE","1802","2024-10-15 05:48:27","1088"
"13422","M6JI","600","2024-10-15 05:51:15","1095"
"13423","SJJF","425","2024-10-15 06:12:44","91"
"13424","YJJR","925","2024-10-15 06:27:21","91"
"13425","VC06","1460","2024-10-15 06:28:47","468"
"13426","PFWD","1525","2024-10-15 06:33:25","91"
"13427","WIFR","1650","2024-10-15 06:35:22","468"
"13428","D5GA","1175","2024-10-15 06:41:26","468"
"13429","MPAZ","525","2024-10-15 06:42:13","468"
"13430","PSGY","1525","2024-10-15 07:21:28","1071"
"13431","RUGQ","1650","2024-10-15 08:02:14","1251"
"13432","HRVD","1688","2024-10-15 08:19:38","1088"
"13433","WY3Y","525","2024-10-15 08:21:50","1251"
"13434","GTLI","525","2024-10-15 08:21:50","1251"
"13435","YCXM","825","2024-10-15 08:36:29","513"
"13436","86NK","2125","2024-10-15 08:54:14","1251"
"13437","MQM4","425","2024-10-15 08:55:09","1251"
"13441","NSSB","3930","2024-10-15 11:05:54","203"
"13444","CLMU","3930","2024-10-15 11:16:35","203"
"13445","YE3J","1175","2024-10-15 11:27:32","1252"
"13446","MMDI","3930","2024-10-15 11:35:07","91"
"13447","XGCZ","3930","2024-10-15 11:44:14","91"
"13448","FWYX","2410","2024-10-15 11:48:13","91"
"13449","Z3ZU","1175","2024-10-15 11:50:10","1253"
"13450","SYXP","2410","2024-10-15 11:55:16","91"
"13456","SACK","225","2024-10-16 06:59:49","1088"
"13461","RI9A","3930","2024-10-16 10:06:10","91"
"13462","YDM1","2410","2024-10-16 10:06:12","91"
"13463","RIT0","3930","2024-10-16 10:09:13","203"
"13464","B5EX","3645","2024-10-16 10:11:05","232"
"13467","0HXH","3930","2024-10-16 10:16:53","91"
"13468","WZZO","2410","2024-10-16 10:21:33","91"
"13472","WWHX","3930","2024-10-16 11:15:25","203"
"13473","LHZH","3930","2024-10-16 11:16:23","203"
"13474","EDQ8","3930","2024-10-16 11:23:55","203"
"13475","F3JF","3930","2024-10-16 11:24:01","203"
"13476","KPG2","3930","2024-10-16 11:24:14","203"
"13477","WZQF","3930","2024-10-16 11:24:27","203"
